"Respondent","Cognitive","Affective","Conative","Typology"
517,0.66,0.134,0.542,"Cognitive-Dominant"
518,-0.752,-0.117,0.108,"Undifferentiated"
519,0.337,0.2,0.077,"Balanced-Tripartite"
520,0.241,0.542,0.016,"Conative-Deficit"
521,1.092,0.186,-0.246,"Cognitive-Dominant"
522,-0.046,0.006,0.296,"Undifferentiated"
523,-0.966,-0.689,-0.773,"Balanced-Tripartite"
524,-0.145,0.311,-0.214,"Conative-Deficit"
525,0.94,0.223,0.108,"Cognitive-Dominant"
526,0.856,-0.02,0.159,"Cognitive-Dominant"
527,-0.188,0.255,0.888,"Undifferentiated"
528,-0.398,-0.26,-1.095,"Conative-Deficit"
529,0.121,0.014,0.737,"Affective-Friction"
530,-0.005,0.112,-0.181,"Balanced-Tripartite"
531,0.263,0.064,0.271,"Balanced-Tripartite"
532,0.314,-0.791,-0.521,"Cognitive-Dominant"
533,0.955,0.422,0.794,"Cognitive-Dominant"
534,0.913,0.383,0.733,"Cognitive-Dominant"
535,0.228,0.343,0.075,"Balanced-Tripartite"
536,-0.344,0.568,0.504,"Undifferentiated"
537,0.031,-0.205,0.675,"Affective-Friction"
538,-0.448,-0.616,-0.402,"Balanced-Tripartite"
539,0.876,0.331,0.694,"Cognitive-Dominant"
540,0.058,1.046,0.889,"Undifferentiated"
541,0.316,0.334,-0.315,"Conative-Deficit"
542,-0.172,-0.142,-0.113,"Balanced-Tripartite"
543,0.969,0.373,0.101,"Cognitive-Dominant"
544,0.188,-0.07,0.184,"Balanced-Tripartite"
545,-0.352,0.074,0.084,"Undifferentiated"
546,0.744,-0.056,-0.552,"Cognitive-Dominant"
547,0.582,0.14,0.091,"Cognitive-Dominant"
548,-0.478,-0.406,-0.301,"Balanced-Tripartite"
549,1.132,0.202,0.026,"Cognitive-Dominant"
550,0.801,0.556,0.737,"Balanced-Tripartite"
551,-0.827,-0.974,0.149,"Affective-Friction"
552,0.527,-0.374,0.018,"Cognitive-Dominant"
553,-0.038,0.342,0.313,"Undifferentiated"
554,0.179,0.279,0.215,"Balanced-Tripartite"
555,0.469,0.206,0.518,"Affective-Friction"
556,-0.342,-0.554,-0.279,"Balanced-Tripartite"
557,0.119,0.616,0.737,"Undifferentiated"
558,0.688,0.045,0.537,"Cognitive-Dominant"
559,0.007,0.318,0.039,"Undifferentiated"
560,0,-0.164,-0.186,"Balanced-Tripartite"
561,0.299,-0.339,-0.267,"Cognitive-Dominant"
562,-0.712,-0.095,0.004,"Undifferentiated"
563,-0.383,0.486,0.068,"Undifferentiated"
564,-0.137,-0.463,-0.361,"Cognitive-Dominant"
565,0.469,0.607,0.905,"Undifferentiated"
566,1.095,0.661,0.297,"Cognitive-Dominant"
567,-0.643,0.098,0.092,"Undifferentiated"
568,-0.653,-0.226,-0.338,"Undifferentiated"
569,0.027,0.106,0.433,"Undifferentiated"
570,-0.19,-0.985,-1.246,"Cognitive-Dominant"
571,-0.079,-0.395,-0.006,"Affective-Friction"
572,-0.645,0.203,0.087,"Undifferentiated"
573,-0.872,-0.55,-0.312,"Undifferentiated"
574,-0.644,0.263,-0.582,"Undifferentiated"
575,0.07,-0.041,0.572,"Affective-Friction"
576,0.301,0.107,0.198,"Balanced-Tripartite"
577,-0.612,0.464,0.597,"Undifferentiated"
578,-0.384,-0.371,-0.569,"Balanced-Tripartite"
579,-0.066,0.57,0.627,"Undifferentiated"
580,-0.461,-0.036,-0.423,"Undifferentiated"
581,0.657,0.279,0.56,"Cognitive-Dominant"
582,-0.66,-0.082,-0.094,"Undifferentiated"
583,-0.571,-0.451,-1.209,"Conative-Deficit"
584,0.031,-0.48,-1.305,"Cognitive-Dominant"
585,-0.329,-0.033,-0.426,"Conative-Deficit"
586,0.153,1.049,1.066,"Undifferentiated"
587,-0.25,-0.204,0.135,"Undifferentiated"
588,-0.166,0.361,0.272,"Undifferentiated"
589,0.892,0.679,0.399,"Cognitive-Dominant"
590,-0.64,-0.753,-0.894,"Balanced-Tripartite"
591,0.024,0.157,-0.069,"Balanced-Tripartite"
592,0.482,0.298,0.572,"Balanced-Tripartite"
593,0.573,0.525,0.798,"Balanced-Tripartite"
594,0.76,0.207,0.769,"Affective-Friction"
595,0.696,0.034,0.249,"Cognitive-Dominant"
596,0.009,-0.139,0.349,"Affective-Friction"
597,0.23,0.078,0.509,"Affective-Friction"
598,-0.268,-0.007,-0.209,"Balanced-Tripartite"
599,-0.183,-0.213,0.456,"Affective-Friction"
600,-0.591,-0.292,-0.927,"Conative-Deficit"
601,0.507,0.119,-0.303,"Cognitive-Dominant"
602,0.501,0.306,0.674,"Affective-Friction"
603,-0.257,-0.806,-0.806,"Cognitive-Dominant"
604,0.229,-0.003,0.211,"Balanced-Tripartite"
605,0.001,-0.343,0.139,"Affective-Friction"
606,-0.813,-0.911,-1.242,"Cognitive-Dominant"
607,-0.932,-0.31,-0.444,"Undifferentiated"
608,0.333,-0.904,-0.912,"Cognitive-Dominant"
609,0.177,-0.098,0.161,"Balanced-Tripartite"
610,0.248,-0.567,-0.951,"Cognitive-Dominant"
611,0.934,0.309,0.102,"Cognitive-Dominant"
612,-0.035,-0.182,0.02,"Balanced-Tripartite"
613,-0.011,0.291,0.154,"Undifferentiated"
614,0.89,0.955,1.109,"Balanced-Tripartite"
615,0.238,0.156,0.152,"Balanced-Tripartite"
616,-0.001,-0.55,0.419,"Affective-Friction"
617,1.1,0.61,0.72,"Cognitive-Dominant"
618,-0.194,0.421,0.596,"Undifferentiated"
619,-0.98,-1.035,-0.477,"Affective-Friction"
620,0.825,0.37,0.505,"Cognitive-Dominant"
621,-0.547,-0.09,-0.324,"Undifferentiated"
622,0.914,0.423,-0.197,"Cognitive-Dominant"
623,-0.163,0.411,0.078,"Undifferentiated"
624,-0.584,-0.203,-0.351,"Undifferentiated"
625,0.175,-0.031,-0.755,"Cognitive-Dominant"
626,0.132,0.031,-0.462,"Cognitive-Dominant"
627,-0.305,0.273,0.049,"Undifferentiated"
628,0.166,-0.886,-0.998,"Cognitive-Dominant"
629,-0.357,-0.507,-0.442,"Balanced-Tripartite"
630,-1.032,-0.387,-0.563,"Undifferentiated"
631,-0.178,0.044,-0.219,"Balanced-Tripartite"
632,-0.095,0.313,0.928,"Undifferentiated"
633,-0.103,-0.459,-0.414,"Cognitive-Dominant"
634,0.103,0.761,0.261,"Undifferentiated"
635,-0.131,-0.181,-0.26,"Balanced-Tripartite"
636,-0.592,-0.438,-1.124,"Conative-Deficit"
637,-0.018,-0.389,-0.667,"Cognitive-Dominant"
638,-0.403,0.094,-0.231,"Undifferentiated"
639,0.255,0.168,0.55,"Affective-Friction"
640,0.777,-0.581,-0.534,"Cognitive-Dominant"
641,0.324,-0.182,0.394,"Affective-Friction"
642,-0.31,0.113,0.383,"Undifferentiated"
643,0.077,0.265,-0.185,"Conative-Deficit"
644,0.256,-0.464,-0.403,"Cognitive-Dominant"
645,-0.275,-0.157,-0.026,"Balanced-Tripartite"
646,0.563,-0.296,-0.214,"Cognitive-Dominant"
647,0.511,0.226,1.261,"Affective-Friction"
648,0.483,0.224,0.36,"Balanced-Tripartite"
649,0.325,0.596,0.699,"Undifferentiated"
650,-0.864,-0.182,-0.233,"Undifferentiated"
651,0.42,-0.371,0.222,"Cognitive-Dominant"
652,-0.825,-0.026,0.052,"Undifferentiated"
653,-0.43,0.005,-0.319,"Undifferentiated"
654,-0.532,-0.413,0.178,"Undifferentiated"
655,-1.281,-0.363,0.117,"Undifferentiated"
656,-0.399,-0.375,-0.551,"Balanced-Tripartite"
657,-1.217,-0.883,-0.547,"Undifferentiated"
658,0.389,0.17,-0.189,"Cognitive-Dominant"
659,-1.119,0.141,-0.639,"Undifferentiated"
660,-0.469,-0.356,-0.411,"Balanced-Tripartite"
661,-0.92,0.368,0.091,"Undifferentiated"
662,0.978,0.579,0.356,"Cognitive-Dominant"
663,-0.02,-0.256,0.489,"Affective-Friction"
664,-0.461,0.154,0.491,"Undifferentiated"
665,0.328,0.654,0.057,"Conative-Deficit"
666,0.502,0.72,0.339,"Conative-Deficit"
667,0.835,0.451,0.688,"Cognitive-Dominant"
668,-0.397,-0.39,-0.639,"Balanced-Tripartite"
669,0.485,0.08,0.02,"Cognitive-Dominant"
670,0.068,0.259,0.777,"Undifferentiated"
671,1.143,0.021,1.163,"Affective-Friction"
672,-0.065,-0.421,-0.332,"Cognitive-Dominant"
673,-0.792,-0.118,-0.669,"Undifferentiated"
674,-0.265,-0.545,-0.647,"Cognitive-Dominant"
675,-0.091,-0.014,0.697,"Undifferentiated"
676,-0.165,0.633,0.742,"Undifferentiated"
677,0.938,0.087,0.029,"Cognitive-Dominant"
678,-0.321,0.549,0.509,"Undifferentiated"
679,0.254,0.66,0.598,"Undifferentiated"
680,-0.273,0.002,-0.919,"Conative-Deficit"
681,0.037,0.478,-0.445,"Conative-Deficit"
682,1.258,-0.151,1.028,"Cognitive-Dominant"
683,0.122,-0.521,-0.239,"Cognitive-Dominant"
684,0.013,-0.64,-0.741,"Cognitive-Dominant"
685,0.913,0.174,-0.376,"Cognitive-Dominant"
686,-0.014,0.174,-0.128,"Conative-Deficit"
687,-0.028,0.113,-0.062,"Balanced-Tripartite"
688,0.093,0.366,0.127,"Balanced-Tripartite"
689,-0.35,-0.273,-0.327,"Balanced-Tripartite"
690,0.531,0.77,0.622,"Balanced-Tripartite"
691,0.672,0.27,0.669,"Cognitive-Dominant"
692,0.862,-0.059,-0.11,"Cognitive-Dominant"
693,0.241,0.143,0.176,"Balanced-Tripartite"
694,0.68,0.595,0.273,"Cognitive-Dominant"
695,0.704,0.167,0.216,"Cognitive-Dominant"
696,-0.237,-0.243,-0.037,"Balanced-Tripartite"
697,-1.111,-0.543,-0.25,"Undifferentiated"
698,-0.239,0.146,0.675,"Undifferentiated"
699,0.454,-0.536,0.039,"Cognitive-Dominant"
700,-0.446,0.022,-0.462,"Conative-Deficit"
701,0.104,-0.954,-0.832,"Cognitive-Dominant"
702,0.155,-0.224,0.157,"Affective-Friction"
703,-0.702,-0.067,0.349,"Undifferentiated"
704,0.706,0.061,-0.031,"Cognitive-Dominant"
705,0.581,0.773,0.356,"Conative-Deficit"
706,0.032,-0.048,-0.156,"Balanced-Tripartite"
707,0.266,-0.019,-0.034,"Balanced-Tripartite"
708,-0.286,-0.973,-0.445,"Cognitive-Dominant"
709,-0.098,-0.505,-1.317,"Cognitive-Dominant"
710,0.175,-0.283,-0.36,"Cognitive-Dominant"
711,-0.249,0.748,0.958,"Undifferentiated"
712,-0.322,-0.381,-0.236,"Balanced-Tripartite"
713,0.94,0.128,-0.365,"Cognitive-Dominant"
714,-0.466,-0.502,-0.082,"Affective-Friction"
715,0.184,0.385,0.227,"Balanced-Tripartite"
716,-0.38,-0.863,-0.134,"Affective-Friction"
717,-0.83,-0.196,-0.273,"Undifferentiated"
718,-0.133,0.112,-0.408,"Conative-Deficit"
719,-1.42,0.26,-0.336,"Undifferentiated"
720,-0.966,-0.652,-0.481,"Undifferentiated"
721,0.271,0.316,0.467,"Balanced-Tripartite"
722,-0.249,0.078,0.207,"Undifferentiated"
723,0.276,0.446,-0.017,"Conative-Deficit"
724,-0.134,-0.142,0.135,"Balanced-Tripartite"
725,-0.025,0.31,0.116,"Undifferentiated"
726,0.257,0.632,0.766,"Undifferentiated"
727,-0.23,-0.026,-0.464,"Conative-Deficit"
728,1.123,0.168,-0.229,"Cognitive-Dominant"
729,0.452,0.018,0.282,"Cognitive-Dominant"
730,-0.653,0.055,-0.174,"Undifferentiated"
731,-0.362,-0.192,-0.072,"Balanced-Tripartite"
732,-0.749,-0.536,-0.197,"Undifferentiated"
733,0.057,-0.09,-0.357,"Cognitive-Dominant"
734,0.236,-0.408,-0.363,"Cognitive-Dominant"
735,-0.615,0.21,-0.427,"Undifferentiated"
736,0.512,-0.033,0.218,"Cognitive-Dominant"
737,0.151,-0.237,-0.187,"Cognitive-Dominant"
738,-1.315,-1.004,-0.648,"Undifferentiated"
739,-0.405,-0.141,-0.32,"Balanced-Tripartite"
740,-0.263,0.132,0.036,"Undifferentiated"
741,0.183,0.213,1.078,"Undifferentiated"
742,0.68,-0.367,-0.058,"Cognitive-Dominant"
743,-0.132,-0.456,-0.657,"Cognitive-Dominant"
744,-0.4,-1.35,-1.474,"Cognitive-Dominant"
745,-1.023,-0.302,-0.543,"Undifferentiated"
746,0.585,-0.576,0.103,"Cognitive-Dominant"
747,-0.099,-0.168,-0.226,"Balanced-Tripartite"
748,-0.241,0.486,-0.046,"Undifferentiated"
749,0.488,-0.16,0.072,"Cognitive-Dominant"
750,0.276,0.206,0.406,"Balanced-Tripartite"
751,0.179,-0.308,0.666,"Affective-Friction"
752,0.005,-0.55,-0.179,"Cognitive-Dominant"
753,-0.036,-0.201,-0.425,"Cognitive-Dominant"
754,-0.06,-0.699,-0.018,"Affective-Friction"
755,0.603,-0.206,0.114,"Cognitive-Dominant"
756,-0.772,-0.282,0.806,"Undifferentiated"
757,-0.298,0.073,-0.662,"Conative-Deficit"
758,-0.282,-0.934,-0.59,"Cognitive-Dominant"
759,0.037,0.117,0.388,"Undifferentiated"
760,0.688,-0.672,-0.557,"Cognitive-Dominant"
761,0.642,0.323,0.158,"Cognitive-Dominant"
762,-0.62,-0.34,-0.977,"Conative-Deficit"
763,-0.137,-0.141,-0.344,"Balanced-Tripartite"
764,-0.42,0.568,0.6,"Undifferentiated"
765,0.363,0.683,0.624,"Undifferentiated"
766,-0.318,0.16,-0.706,"Conative-Deficit"
767,0.072,0.182,-0.102,"Balanced-Tripartite"
768,0.079,-0.043,-0.145,"Balanced-Tripartite"
769,-0.468,-0.463,0.288,"Undifferentiated"
770,0.305,0.06,0.557,"Affective-Friction"
771,-0.049,-0.392,0.587,"Affective-Friction"
772,-0.074,0.233,-0.154,"Conative-Deficit"
773,0.769,1.042,0.68,"Conative-Deficit"
774,-0.046,0.128,0.036,"Balanced-Tripartite"
775,0.52,0.522,0.252,"Balanced-Tripartite"
776,-1.187,-0.55,-0.717,"Undifferentiated"
777,0.708,0.161,-0.187,"Cognitive-Dominant"
778,0.032,0.18,0.642,"Undifferentiated"
779,0.086,0.431,-0.174,"Conative-Deficit"
780,-1.046,-0.814,-1.016,"Balanced-Tripartite"
781,0.54,0.212,0.489,"Cognitive-Dominant"
782,1.429,1.333,1.315,"Balanced-Tripartite"
783,-0.961,-0.502,-0.678,"Undifferentiated"
784,0.39,0.156,0.069,"Cognitive-Dominant"
785,0.25,0.018,-0.306,"Cognitive-Dominant"
786,-0.612,0.1,-0.132,"Undifferentiated"
787,0.011,-0.209,-0.532,"Cognitive-Dominant"
788,-0.798,-0.519,-0.178,"Undifferentiated"
789,0.934,0.637,0.744,"Balanced-Tripartite"
790,-0.932,-0.711,-0.962,"Balanced-Tripartite"
791,0.437,0.869,0.468,"Undifferentiated"
792,0.42,0.209,-0.289,"Cognitive-Dominant"
793,1.343,0.499,0.921,"Cognitive-Dominant"
794,-0.243,0.022,-0.054,"Balanced-Tripartite"
795,-0.235,0.438,0.616,"Undifferentiated"
796,-0.597,0.312,-0.416,"Undifferentiated"
797,0.369,0.182,0.175,"Balanced-Tripartite"
798,0.15,0.324,0.227,"Balanced-Tripartite"
799,0.167,-0.003,0.477,"Affective-Friction"
800,0.44,0.187,-0.714,"Cognitive-Dominant"
801,0.525,0.349,0.145,"Cognitive-Dominant"
802,-0.946,-0.399,-0.917,"Undifferentiated"
803,0.361,-0.066,-0.309,"Cognitive-Dominant"
804,0.324,-0.299,0.161,"Cognitive-Dominant"
805,-0.543,-0.655,-0.51,"Balanced-Tripartite"
806,0.962,0.02,0.082,"Cognitive-Dominant"
807,0.508,0.011,-0.512,"Cognitive-Dominant"
808,0.233,-0.346,-0.284,"Cognitive-Dominant"
809,-0.039,-0.642,-0.914,"Cognitive-Dominant"
810,1.044,-0.016,0.153,"Cognitive-Dominant"
811,-0.236,-0.72,-0.5,"Cognitive-Dominant"
812,-0.132,0.152,0.006,"Balanced-Tripartite"
813,-0.413,0.104,-0.14,"Undifferentiated"
814,0.175,0.564,0.569,"Undifferentiated"
815,0.998,0.739,0.916,"Balanced-Tripartite"
816,0.277,0.357,-0.183,"Conative-Deficit"
817,0.196,-0.34,-0.057,"Cognitive-Dominant"
818,0.425,0.371,1.277,"Affective-Friction"
819,1.236,0.519,0.979,"Cognitive-Dominant"
820,-0.543,0.332,-0.345,"Undifferentiated"
821,-0.879,0.152,-0.098,"Undifferentiated"
822,0.288,0.274,0.377,"Balanced-Tripartite"
823,-0.259,0.264,0.844,"Undifferentiated"
824,-0.464,0.045,-0.168,"Undifferentiated"
825,1.521,0.533,0.684,"Cognitive-Dominant"
826,-0.19,-0.613,-0.061,"Affective-Friction"
827,0.298,-0.205,0.873,"Affective-Friction"
828,0.008,0.308,0.355,"Undifferentiated"
829,-0.017,-0.492,0.169,"Affective-Friction"
830,0.219,-0.092,-0.008,"Cognitive-Dominant"
831,0.571,0.302,0.109,"Cognitive-Dominant"
832,-0.533,-0.638,-0.5,"Balanced-Tripartite"
833,0.663,0.102,-0.119,"Cognitive-Dominant"
834,0.602,-0.175,0.13,"Cognitive-Dominant"
835,-0.437,0.008,-0.551,"Conative-Deficit"
836,0.802,-0.304,0.631,"Cognitive-Dominant"
837,0.178,0.159,0.27,"Balanced-Tripartite"
838,0.721,0.221,-0.286,"Cognitive-Dominant"
839,-0.155,-0.434,-0.629,"Cognitive-Dominant"
840,-0.308,-0.113,-0.339,"Balanced-Tripartite"
841,-0.303,0.529,0.343,"Undifferentiated"
842,0.945,0.554,0.821,"Cognitive-Dominant"
843,0.119,-0.1,0.424,"Affective-Friction"
844,0.512,-0.151,-0.197,"Cognitive-Dominant"
845,-0.351,-0.203,-0.138,"Balanced-Tripartite"
846,-0.716,-0.571,-0.529,"Balanced-Tripartite"
847,-0.442,-0.704,0.229,"Affective-Friction"
848,0.258,0.184,-0.086,"Cognitive-Dominant"
849,0.682,-0.336,-0.122,"Cognitive-Dominant"
850,0.169,-0.603,-0.219,"Cognitive-Dominant"
851,0.696,-0.044,0.311,"Cognitive-Dominant"
852,1.154,0.367,0.132,"Cognitive-Dominant"
853,-0.274,0.325,0.293,"Undifferentiated"
854,-0.585,-0.33,-0.087,"Undifferentiated"
855,-0.237,-0.421,0.466,"Affective-Friction"
856,-0.708,0.285,-0.466,"Undifferentiated"
857,0.561,-0.097,-0.35,"Cognitive-Dominant"
858,0.826,0.662,0.699,"Balanced-Tripartite"
859,-0.38,-0.523,-0.226,"Balanced-Tripartite"
860,-0.042,-0.458,-0.211,"Cognitive-Dominant"
861,-0.052,-0.214,0.033,"Balanced-Tripartite"
862,-0.454,-0.472,-0.628,"Balanced-Tripartite"
863,-1.441,0.026,-0.365,"Undifferentiated"
864,-0.647,0.071,-0.571,"Undifferentiated"
865,0.242,-0.038,0.21,"Balanced-Tripartite"
866,-0.011,0.099,0.443,"Undifferentiated"
867,0.395,0.258,0.933,"Affective-Friction"
868,-0.307,0.264,0.953,"Undifferentiated"
869,-0.121,0.277,0.088,"Undifferentiated"
870,1.036,0.871,0.553,"Cognitive-Dominant"
871,0.859,-0.022,0.333,"Cognitive-Dominant"
872,-0.858,-0.025,-0.431,"Undifferentiated"
873,0.994,0.068,0.493,"Cognitive-Dominant"
874,-0.346,0.556,0.95,"Undifferentiated"
875,0.224,0.618,0.581,"Undifferentiated"
876,-0.253,-0.13,0.419,"Undifferentiated"
877,0.024,0.355,0.125,"Undifferentiated"
878,0.037,0.004,0.531,"Affective-Friction"
879,0.313,-0.289,0.164,"Cognitive-Dominant"
880,0.642,-0.032,0.115,"Cognitive-Dominant"
881,0.266,0.84,1.342,"Undifferentiated"
882,-0.591,0.041,-0.185,"Undifferentiated"
883,0.419,0.502,0.653,"Balanced-Tripartite"
884,0.466,-0.57,-0.11,"Cognitive-Dominant"
885,0.965,-0.064,-0.377,"Cognitive-Dominant"
886,-0.528,-0.819,-0.358,"Affective-Friction"
887,0.066,0.107,-0.05,"Balanced-Tripartite"
888,-0.884,0.311,-0.55,"Undifferentiated"
889,-0.131,0.007,0.103,"Balanced-Tripartite"
890,-0.894,-0.466,-0.645,"Undifferentiated"
891,-0.707,-0.383,-1.337,"Conative-Deficit"
892,0.216,0.395,0.087,"Conative-Deficit"
893,-0.46,-0.903,-0.043,"Affective-Friction"
894,-0.801,0.16,0.021,"Undifferentiated"
895,0.906,0.566,0.689,"Cognitive-Dominant"
896,0.527,0.286,0.351,"Balanced-Tripartite"
897,-0.683,-0.533,-0.445,"Balanced-Tripartite"
898,1.1,0.979,0.724,"Cognitive-Dominant"
899,0.534,-0.277,0.068,"Cognitive-Dominant"
900,-0.24,-0.257,-0.939,"Cognitive-Dominant"
901,0.167,-0.216,-0.732,"Cognitive-Dominant"
902,0.036,-0.658,-0.42,"Cognitive-Dominant"
903,0.081,0.114,-0.268,"Conative-Deficit"
904,-0.324,0.053,0.429,"Undifferentiated"
905,-0.035,0.178,-0.338,"Conative-Deficit"
906,0.179,0.358,0.345,"Balanced-Tripartite"
907,-0.355,-0.442,-0.224,"Balanced-Tripartite"
908,-0.209,-0.466,-0.432,"Balanced-Tripartite"
909,-1.026,-0.36,0.07,"Undifferentiated"
910,1.063,0.161,-0.209,"Cognitive-Dominant"
911,-0.274,-0.245,0.373,"Undifferentiated"
912,0.158,0.064,-0.156,"Cognitive-Dominant"
913,-1.124,0.621,0.428,"Undifferentiated"
914,-0.119,-0.167,-0.834,"Cognitive-Dominant"
915,-0.55,-0.641,-0.507,"Balanced-Tripartite"
916,0.754,0.944,0.397,"Conative-Deficit"
917,-0.302,-0.513,-0.112,"Affective-Friction"
918,0.231,-0.345,0.408,"Affective-Friction"
919,-0.32,-0.106,-0.087,"Balanced-Tripartite"
920,-0.511,0.532,0.174,"Undifferentiated"
921,-0.181,-0.173,0.157,"Undifferentiated"
922,-0.053,-0.145,0.564,"Affective-Friction"
923,-0.057,0.229,0.206,"Balanced-Tripartite"
924,0.051,0.293,-0.128,"Conative-Deficit"
925,-1.048,-0.469,-0.379,"Undifferentiated"
926,0.115,0.004,-0.422,"Cognitive-Dominant"
927,0.14,0.483,0.169,"Undifferentiated"
928,-1.192,-0.95,-0.982,"Balanced-Tripartite"
929,-0.008,-0.278,-0.588,"Cognitive-Dominant"
930,-0.644,-0.444,-0.68,"Balanced-Tripartite"
931,-0.451,-0.225,0.185,"Undifferentiated"
932,0.393,0.153,0.767,"Affective-Friction"
933,0.73,0.249,-0.168,"Cognitive-Dominant"
934,0.893,-0.086,0.209,"Cognitive-Dominant"
935,-0.393,0.184,0.078,"Undifferentiated"
936,-0.141,0.132,0.598,"Undifferentiated"
937,0.717,0.417,-0.153,"Cognitive-Dominant"
938,0.165,0.723,0.712,"Undifferentiated"
939,-0.425,-0.271,0.119,"Undifferentiated"
940,-0.047,-0.011,0.461,"Undifferentiated"
941,-0.278,0.612,0.544,"Undifferentiated"
942,0.811,-0.35,-0.12,"Cognitive-Dominant"
943,-0.931,-0.146,-0.905,"Undifferentiated"
944,-0.564,0.281,-0.113,"Undifferentiated"
945,0.144,0.627,-0.146,"Conative-Deficit"
946,-0.196,-0.775,-0.098,"Affective-Friction"
947,0.889,-0.485,-0.164,"Cognitive-Dominant"
948,0.347,-0.064,-0.248,"Cognitive-Dominant"
949,0.013,0.037,-0.33,"Conative-Deficit"
950,-0.017,0.472,-0.236,"Conative-Deficit"
951,-0.671,-0.168,0.394,"Undifferentiated"
952,-0.467,-0.506,-0.258,"Balanced-Tripartite"
953,1.058,0.401,0.797,"Cognitive-Dominant"
954,0.645,0.587,0.478,"Balanced-Tripartite"
955,-0.374,-0.247,0.573,"Undifferentiated"
956,-0.747,-0.288,-0.232,"Undifferentiated"
957,0.894,-0.02,0.006,"Cognitive-Dominant"
958,-0.499,0.197,-0.202,"Undifferentiated"
959,-0.249,-0.243,-0.278,"Balanced-Tripartite"
960,0.908,0.225,0.546,"Cognitive-Dominant"
961,-0.17,-0.172,-0.686,"Cognitive-Dominant"
962,-0.136,0.097,0.324,"Undifferentiated"
963,0.077,-0.048,-0.406,"Cognitive-Dominant"
964,0.262,-0.106,-0.453,"Cognitive-Dominant"
965,0.263,0.715,0.438,"Undifferentiated"
966,-0.223,0.231,-0.478,"Conative-Deficit"
967,-0.623,0.126,0.658,"Undifferentiated"
968,-0.357,0.103,0.155,"Undifferentiated"
969,0.059,0.826,1.108,"Undifferentiated"
970,-0.982,-0.36,-0.804,"Undifferentiated"
971,0.206,0.005,0.561,"Affective-Friction"
972,0.097,-0.162,0.692,"Affective-Friction"
973,-0.108,-0.898,-1.243,"Cognitive-Dominant"
974,-0.221,0.035,0.289,"Undifferentiated"
975,1.011,0.619,1.224,"Affective-Friction"
976,0.24,-0.411,-0.644,"Cognitive-Dominant"
977,0.48,0.888,0.43,"Conative-Deficit"
978,-0.458,0.774,0.296,"Undifferentiated"
979,-0.117,0.288,-0.021,"Undifferentiated"
980,-0.433,0.262,-0.084,"Undifferentiated"
981,-0.587,-0.765,-0.633,"Balanced-Tripartite"
982,-0.481,-0.178,0.195,"Undifferentiated"
983,-0.46,0.235,-0.931,"Conative-Deficit"
984,-0.321,0.52,0.524,"Undifferentiated"
985,1.026,0.447,0.469,"Cognitive-Dominant"
986,1.075,0.465,0.3,"Cognitive-Dominant"
987,0.136,-0.709,-0.094,"Cognitive-Dominant"
988,0.096,0.09,0.41,"Affective-Friction"
989,-0.73,0.782,0.795,"Undifferentiated"
990,0.397,0.477,0.7,"Undifferentiated"
991,-0.352,-0.294,-0.047,"Undifferentiated"
992,-0.21,-0.371,-0.267,"Balanced-Tripartite"
993,-0.448,-0.708,-0.394,"Affective-Friction"
994,0.55,0.015,0.905,"Affective-Friction"
995,-0.228,-0.151,0.157,"Undifferentiated"
996,-0.023,-0.458,-0.238,"Cognitive-Dominant"
997,-0.543,-0.952,-1.181,"Cognitive-Dominant"
998,0.327,0.32,-0.085,"Cognitive-Dominant"
999,-0.212,0.449,0.212,"Undifferentiated"
1000,0.161,0.448,0.027,"Conative-Deficit"
